,text
95,"Посуда стеклянная лабораторная ГОСТы 20292-80, 25336-82"
96,Барометр-анероид М-67 ТУ 2504-1797-75
97,Лупа измерительная ГОСТ 25706-83
98,Линейка измерительная ГОСТ 17435-72
99,Секундомер ГОСТ 5072-70
100,Термометр лабораторный шкальный ТЛ-2 ГОСТ 215-73Е
101,Электроаспиратор ТУ 64-1-862-72
102,Микрошприц типа МШ-10 ГОСТ 8043-74
103,"Хроматографическая колонка длиной 60 мм внутренним диаметром 2 мм, заполненная сорбентом силасорбом  C18 зернением 5 мкм"
104,Дистиллятор ТУ 61-1-721-72
105,Трубки сорбционные стеклянные длиной 100 мм внутренним диаметром 4 мм
106,Колонка стеклянная для продувки импрегнированного силохрома азотом
107,Эксикатор
108,"Анализатор жидкости 'Флюорат-02'  или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ ТУ 4321-001-20506233-94"
109,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа ГОСТ 24104"
110,"Колбы мерные 2-100-2, 2-25-2,2-1000-2, 2-200-2 ГОСТ 1770"
111,"Пипетки с одной отметкой 2-го класса точности вместимостью 1, 2, 5, 10 куб. см Государственный стандартный образец состава раствора ионов алюминия (III): массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%. ГОСТ 29227"
112,Бидистиллятор или аппарат для перегонки воды (кварцевый или стеклянный) ТУ 25.11-1592-81
113,"Колбы плоскодонные вместимостью 100, 500 и 1000 куб. см ГОСТ 25336"
114,Воронки лабораторные ГОСТ 25336
115,Стакан лабораторный термостойкий ГОСТ 25336
116,Стакан лабораторный термостойкий вместимостью 50 и 100 - 150 куб. см ГОСТ 25336
117,Электроплитка бытовая ГОСТ 14919
118,Фильтры обеззоленные 'синяя лента' ТУ 6-09-1678-86
119,Бумага индикаторная универсальная ТУ 6-09-1181-76
120,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ ТУ 4321-001-20506233-94"
121,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа ГОСТ 24104"
122,"Колбы мерные 2-1000-2, 2-100-2,  2-50-2, 2-25-2 ГОСТ 1770"
123,"Пипетки с одной отметкой 2-2-5,  2-2-10, 2-2-25 ГОСТ 29169"
124,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5, 10 куб. см  ГОСТ 29227"
125,"Государственный стандартный образец состава раствора ионов цинка: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%."
126,Бидистиллятор или аппарат для перегонки воды кварцевый или стеклянный ТУ 25.11-1592-81
127,"Чашки кварцевые, вместимостью 50 и ГОСТ 19908"
128,100 куб. см или стакан лабораторный термостойкий вместимостью 50 и 100 куб. см ГОСТ 25336
129,Воронки делительные вместимостью ГОСТ 25336
130,Фильтры обеззоленные 'красная лента' ТУ 6-09-1678-86
131,Бумага индикаторная универсальная ТУ 6-09-1181-76
132,Электроплитка бытовая ГОСТ 14919
133,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ ТУ 4321-001-20506233-94"
134,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа ГОСТ 24104"
135,"Колбы мерные 2-1000-2, 2-100-2,  2-50-2, 2-25-2 ГОСТ 1770"
136,"Пипетки с одной отметкой 2-2-5,  2-2-10, 2-2-25 ГОСТ 29169"
137,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5, 10 куб. см  ГОСТ 29227"
138,"Государственный стандартный образец состава раствора ионов цинка: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%."
139,"Стакан лабораторный термостойкий вместимостью 500, 1000 куб. см ГОСТ 25336"
140,Воронки лабораторные ГОСТ 25336
141,Фильтры обеззоленные 'синяя лента' ТУ 6-09-1678-86
142,"Сосуды фторопластовые или  полиэтиленовые для хранения растворов вместимостью 25, 50, 100 куб. см ТУ 6-09-1678-86."
143,Фильтры обеззоленные 'красная лента' ТУ 6-09-1678-86
144,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ ТУ 4321-001-20506233-94"
145,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа ГОСТ 24104"
146,"Колбы мерные 2-1000-2, 2-100-2,  2-50-2, 2-25-2 ГОСТ 1770"
147,"Пипетки с одной отметкой 2-2-5,  2-2-10, 2-2-25 ГОСТ 29169"
148,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5, 10 куб. см  ГОСТ 29227"
149,"Государственный стандартный образец состава раствора ионов цинка: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%."
150,Бидистиллятор или аппарат для перегонки  воды (кварцевый или стеклянный) ТУ 25.11-1592-81
151,Пробирки стеклянные вместимостью 10 куб. см с пришлифованной пробкой ГОСТ 25336
152,"Колбы плоскодонные вместимостью 100, 500 и 1000 куб. см ГОСТ 25336 "
153,Водяная баня
154,Воронки лабораторные ГОСТ 25336
155,Чашки кварцевые вместимостью 50 куб. или стакан лабораторный термостойкий вместимостью 50 куб. см ГОСТ 19908
156,Электроплитка бытовая ГОСТ 14919
157,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ ТУ 4321-001-20506233-94"
158,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа ГОСТ 24104"
159,"Колбы мерные 2-1000-2, 2-100-2,  2-50-2, 2-25-2 ГОСТ 1770"
160,"Пипетки с одной отметкой 2-2-5,  2-2-10, 2-2-25 ГОСТ 29169"
161,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5, 10 куб. см  ГОСТ 29227"
162,"Государственный стандартный образец состава раствора ионов цинка: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%."
163,Бидистиллятор или аппарат для перегонки  воды (кварцевый или стеклянный) ТУ 25.11-1592-81
164,"Стаканы стеклянные лабораторные вместимостью 1000, 100 куб. см ГОСТ 25336"
165,Фильтры обеззоленные 'синяя лента' ТУ 6-09-1678-86
166,Воронки лабораторные ГОСТ 25336
167,Воронки делительные вместимостью 50 куб. см ГОСТ 25336
168,Чашки кварцевые вместимостью 50 куб. или стакан лабораторный термостойкий вместимостью 50 куб. см ГОСТ 19908
169,Колбы конические вместимостью 100 куб. см ГОСТ 25336
170,Электроплитка бытовая ГОСТ 14919
171,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ ТУ 4321-001-20506233-94"
172,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа ГОСТ 24104"
173,"Колбы мерные 2-1000-2, 2-100-2,  2-50-2, 2-25-2 ГОСТ 1770"
174,"Пипетки с одной отметкой 2-2-5,  2-2-10, 2-2-25 ГОСТ 29169"
175,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5, 10 куб. см  ГОСТ 29227"
176,"Государственный стандартный образец состава раствора ионов цинка: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%."
177,"Стаканы лабораторные термостойкие вместимостью 50, 100, 500 куб. см ГОСТ 25336"
178,"Колбы конические вместимостью 100, 500 и 1000 куб. см типа Кн-1 ГОСТ 25336"
179,"Воронки делительные вместимостью  500, 250, 100 и 50 куб. см типа ВД-1 ГОСТ 25336"
180,"Аппарат для отгонки фенолов, стеклянный"
181,Нагревательное устройство закрытого  типа или электроплитка бытовая ГОСТ 14919
182,Бумага индикаторная универсальная ТУ 6-09-1181-76
183,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ 4321-001-20506233-94"
184,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа по ГОСТ 24104"
185,"Пипетки с одной отметкой 2-2-5, 2-2-10 по ГОСТ 29169"
186,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5 куб. см по ГОСТ 29227"
187,"Колбы мерные 2-100-2, 2-500-2, 2-50-2 по ГОСТ 1770"
188,"Государственный стандартный образец состава раствора формальдегида: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%."
189,Баня водяная с регулятором температуры любой модели
190,Холодильник бытовой любой марки
191,"Государственный стандартный образец состава раствора формальдегида: массовая концентрация 1 мг/куб. см, границы допускаемого значения относительной погрешности +/- 1%"
192,Пробирки стеклянные с пришлифованными пробками вместимостью 5 или 10 куб. см по ГОСТ 25336
193,Колбы конические вместимостью 250 куб. см по ГОСТ 25336
194,Воронки лабораторные В-75-110 по ГОСТ 25336
195,Фильтры обеззоленные 'синяя лента' по ТУ 6-09-1678-86
196,Электроплитка бытовая по ГОСТ 14919
197,Устройство для перегонки проб воды вместимостью 50 или 100 куб. см.
198,"Анализатор жидкости 'Флюорат-02' или другой люминесцентный анализатор, флуориметр или спектрофлуориметр, удовлетворяющий требованиям указанных ТУ 4321-001-20506233-94"
199,"Весы лабораторные общего назначения с наибольшим пределом взвешивания 200 г и ценой деления 1,0 мг, любого типа по ГОСТ 24104"
200,Пипетки с одной отметкой 2-го класса точности вместимостью 20 и 50 куб. см по ГОСТ 29169
201,"Пипетки градуированные 2-го класса точности вместимостью 1, 2, 5 и 10 куб. см по ГОСТ 29227"
202,"Колбы мерные 2-100-2, 2-250-2 по ГОСТ 1770"
203,Барометр-анероид М-67 или М-110 по ТУ 2504-1797-75
204,"Термометр лабораторный шкальный ТЛ-2; цена деления 1 °С, пределы измерения 0 - 55 °С по ГОСТ 28498"
205,"Прибор для отбора проб воздуха, позволяющий проводить отбор проб с расходом от 0,5 до куб. 2,0 дм /мин. и погрешностью не более 5% по ГОСТ 17.2.6.01"
206,"Государственный стандартный образец состава раствора фенола: массовая концентрация 1 мг/куб. см, погрешность аттестованного значения +/- 1%."
207,"Колбы конические плоскодонные, вместимостью 500 и 100 куб. см по ГОСТ 25336"
208,"Воронки делительные, вместимостью 50 куб. см по ГОСТ 25336"
209,Поглотительный сосуд Рихтера по ТУ 25-11-1136-75
210,Холодильник бытовой любой марки
211,Колбы конические вместимостью 250 куб. см по ГОСТ 25336
212,Бумага индикаторная универсальная по ТУ 6-09-1181-76
213,"Хроматограф жидкостный НР-1050 с флуориметрическим детектором 1046А или любой другой жидкостный хроматограф с флуориметрическим или иным детектором, обеспечивающим нижний предел обнаружения фенола в объеме вводимой пробы 0,00015 мкг"
214,Автосэмплер или ручной дозатор пробы для жидкостного хроматографа с дозирующей петлей 20 куб. мм
215,Автоматический пробоотборник воздуха модель ОП 824 или любой другой с основной приведенной погрешностью задания расхода не более +/- 5% по ИРМБ.418311.002 РЭ
216,"Термометр-психрометр электронный цифровой ЭЦТП или любой другой с диапазоном измерения температур 0 - 50 °С и абсолютной погрешностью измерения не более 0,2 °С"
217,"Барометр-анероид М-67, предел допускаемой погрешности +/- 0,8 мм рт. ст. по ТУ 2504-1797-75"
218,Весы аналитические ВЛА-200 по ГОСТ 24104-01
219,Меры массы по ГОСТ 7328-01
220,Колбы мерные вместимостью 25-100-500-1000 куб. см по ГОСТ 1770-74
221,"Пипетки вместимостью 0,1 0,2 1-2-5-10 куб. по по ГОСТ 29227-91, ГОСТ 17.2.6.01"
222,"Колонка аналитическая Сферисорб ОДС-2, 250 х 4 мм, зернения 5 мкм или любая другая, заполненная модифицированным С18 силикагелем, зернением 5 - 7 мкм"
223,Микрошприц для ввода пробы в жидкостный хроматограф вместимостью 50 - 100 куб. мм типа 'Hamilton 80600'
224,"Шприц медицинский, одноразовый любого типа вместимостью 1 куб. см с тонкой иглой"
225,Поглотительный сосуд Рихтера вместимостью 20 куб. см по ТУ 25.11.1136-75
226,Пробирки конические градуированные вместимостью 10 куб. см ГОСТ 1770-74
227,Стакан химический вместимостью 100 куб. см по ГОСТ 1770-74
228,Воронка химическая по ГОСТ 1770-74
229,Атомно-абсорбционный спектрометр 3300 производства фирмы Perkin-Elmer или любой другой спектрометр с пламенным атомизатором.
230,"Лампы с полым катодом на кобальт, никель, медь, хром, цинк, марганец, железо, серебро."
231,Весы лабораторные аналитические по ГОСТ 24104.
232,"Государственные стандартные образцы (ГСО) состава водных растворов кобальта, никеля, меди, хрома, цинка, марганца, железа, серебра с относительной погрешностью аттестованных значений массовых концентраций не более 1% при Р = 0,95."
233,Дистиллятор или установка для получения деионизированной воды (степень чистоты 2 по ИСО 3696)
234,"Плитка электрическая по ГОСТ 14919 или баня песчаная, или микроволновая печь с закрытыми стаканами, например, MDS-2000 (CEM) или Ethos Plus (Milestone)"
235,"Колбы мерные по ГОСТ 1770 вместимостью 25, 50, 100, 1000 куб. см"
236,"Пипетки мерные по ГОСТ 29227 вместимостью 1, 2, 5, 10 куб. см"
237,"Цилиндры мерные наливные по ГОСТ 1770 вместимостью 50, 100, 1000 куб. см"
238,"Стаканы химические термостойкие из боросиликатного стекла по ГОСТ 25336 вместимостью 50, 100, 1000 куб. см"
239,Полиэтиленовые емкости или емкости из боросиликатного стекла для хранения проб вместимостью 500 куб. см.
240,"Баня песчаная, или баня водяная, или плитка электрическая с регулятором температуры по ГОСТ 14919, или микроволновая печь с закрытыми стаканами, например Mars 5 (CEM)"
241,Весы лабораторные аналитические по ГОСТ Р 53228 специального или высокого класса точности.
242,Воронки лабораторные по ГОСТ 25336.
243,"Государственные стандартные образцы (далее - ГСО) состава водных растворов бериллия, ванадия, висмута, кадмия, кобальта, меди, молибдена, мышьяка, никеля, олова, свинца, селена, серебра, сурьмы, хрома с относительной погрешностью аттестованных значений массовых концентраций не более 1% при доверительной вероятности P = 0,95."
244,Дистиллятор или установка любого типа для получения воды дистиллированной по ГОСТ 6709 или воды для лабораторного анализа 2 степени чистоты по ГОСТ Р 52501.
245,Дозатору медицинские лабораторные одноканальные с фиксированным или варьируемым объемом дозирования по ГОСТ 28311.
246,Емкости полиэтиленовые или стеклянные для хранения проб вместимостью 500 см3
247,Колбы мерные вместимостью 10; 25; 50; 100; 1000 см3 по ГОСТ 1770
248,Лампы с полым катодом или безэлектродные разрядные лампы на определяемый элемент.
249,Пипетки мерные вместимостью 1; 2; 5; 10 см3 по ГОСТ 29227
250,"Спектрометр атомно-абсорбционный с электротермическим атомизатором, снабженный Зеемановским или дейтериевым корректором фона, например Solaar MQZ (фирма Thermo Electron), Aanalyst 600 или PinAAcle 900Z (фирма Perkin Elmer), или аналогичный."
251,Стаканы химические термостойкие стеклянные вместимостью 50; 100; 250 см3 по ГОСТ 25336.
252,Стаканчик для взвешивания (бюкс) по ГОСТ 25336.
253,Цилиндры мерные наливные вместимостью 25; 50; 100 см3 по ГОСТ 1770
254,Флаконы пластиковые вместимостью (30 - 100) см3 для хранения градуировочных растворов.
255,"Холодильник бытовой любой модели, обеспечивающий хранение проб и растворов реактивов при температуре (2 - 10) °C."
256,"Фильтрующие насадки на шприц с размером пор 0,45 мкм, 5 мкм, например фирмы Millipore (США) или фирмы Владипор (РФ)"
257,Фильтры обеззоленные 'белая лента' по ТУ 6-09-1678.
258,"Атомно-эмиссионный спектрометр с индуктивно-связанной плазмой Liberty-150 производства фирмы Varian или любой другой с аналогичными характеристиками: частота генератора 40,68 мГц, спектральный диапазон 189-940 нм, спектральное разрешение 0,018 нм"
259,Бидистиллятор стеклянный БС по ТУ 25-11.1592* или установка для получения деионизированной воды по ИСО 3696
260,Весы лабораторные по ГОСТ 24104
261,Стандартные образцы элементов (ГСО) с относительной погрешностью аттестованных значений массовых концентраций не более 1%.
262,"Плитка электрическая по ГОСТ 14919 или баня песчаная по ТУ 10-23-103 или микроволновая печь с закрытыми стаканами, например, MDS-2000 (СЕМ) или Ethos Plus (Milestone)"
263,Колбы мерные по ГОСТ 1770 вместимостью 25; 50; 100; 250; 500; 1000 см
264,Пипетки градуированные по ГОСТ 29227 вместимостью 1; 2; 5; 10; 25 см
265,"Полиэтиленовые емкости для хранения проб вместимостью 50, 100 или 500 см"
266,Стаканы химические термостойкие из боросиликатного стекла по ГОСТ 25336 вместимостью 50; 100; 250 см
267,Цилиндры мерные наливные по ГОСТ 1770 вместимостью 100; 1000 см
268,Электроаспиратор ЭА-3 или 'Кипарис' по ТУ 25-11-1660-85
269,"Фильтроткань ФПА-15-2,0 и ФПП-15-1,5 по ТУ 6-16-2334-79"
270,"Фильтры АФА-ХА-160, АФА-ХП(ВП)-160, по ТУ 95.7181-76"
271,Силохром С-80 или С-120 по ТУ 6-09-17-48-74
272,Пинцеты (металлический и пластмассовый)
273,Сосуды из темного стекла с пластмассовыми пробками вместимостью 50 куб. см
274,Калька
275,Бумажные пакеты
276,"Павильон 'Пост-2' или 'Пост-1', 'Холодильник 'Морозко'"
277,Воздухоотборник 'Компонент'
278,Газовый счетчик ГСБ-400; по ГОСТ 6463-53
279,Трубка сорбционная СТ
280,стеклянных гранул диаметром 1 - 2 мм
281,Вентилятор бытовой
282,Трубка тефлоновая 8 - 10 мм
283,Кулонометрический индикатор 'Атмосфера-1'  по ТУ 25-05.2333-87 или 'Атмосфера-1М'
284,Самопишущий потенциометр; класс 1; шкала 0 - 10 мВ марки КСП-4
285,Потенциометр показывающий по ГОСТ 15150-69 с вращающимся циферблатом КВП-503
286,Трубка тефлоновая 8 - 10 мм
287,Шланг силиконовый 6 мм  по ТУ 38-10-61-57-77
288,Марля или другая ткань
289,Осадкосборники с полиэтиленовой приемной поверхностью
290,Осадкосборники с эмалированной или стеклянной приемной поверхностью
291,"Бутыли полиэтиленовые с завинчивающимися по ТУ 6-19-110-78 пробками вместимостью 0,5, 1 и 10 куб. дм"
292,"Бутыли стеклянные с завинчивающимися или притертыми пробками вместимостью 1, 10 или 20 куб. дм"
293,Пипетки по ГОСТ 20292-74Е 4-2-1 6-2-5 6-2-10
294,Осадкосборники с эмалированной или стеклянной приемной поверхностью
295,Цилиндры мерные вместимостью 25; 50; по ГОСТ 1770-74Е 100; 500; 1000 куб. см
296,Стиральный порошок
297,Дистиллированная вода
298,Фотоэлектроколориметр или спектрофотометр
299,рН-метр-милливольтметр рН-673
300,Весы аналитические ВЛА-200
301,Барограф погрешность +/- 7 гПа
302,Термограф погрешность +/- 1 °С
303,Газовый счетчик ГСБ-400; погрешность +/- 1%
304,Микрокомпрессор ВК-1
305,Колбы мерные по ГОСТ 1770-74Е 2-100-2 - 9 шт. 2-250-2 - 1 шт. 2-500-2 - 3 шт. 2-1000-2 - 2 шт.
306,Пипетки по ГОСТ 20292-74Е 4-2-1 - 5 шт. 4-2-2 - 2 шт. 2-2-5 - 3 шт. 6-2-10 - 2 шт. 2-2-10 - 2 шт. 2-2-50 - 2 шт. 2-2-100 - 1 шт.
307,"Бюретки 3-2-25-0,1 - 3 шт"
308,Секундомер; класс 3; цена деления
309,Барограф; погрешность +/- 7 гПа
310,Термограф; погрешность +/- 1 °С
311,Барометр-анероид М-67
312,Термометр лабораторный шкальный ТЛ-2
313,Электроаспиратор ЭА-1; погрешность по ТУ 25-11-1414-78 +/- 10%; Госреестр N 5997-77
314,Газовый счетчик ГСБ-400; погрешность по ГОСТ 6463-53 +/- 1%; Госреестр N 734-72
315,Электроаспиратор ЭА-3
316,Атомно-абсорбционный спектрофотометр
317,Потенциометр с термопарой или по ГОСТ 215-73 термометр ТЛ-3 на 500 °С
318,Ножницы
319,Трубки сорбционные СТ 212 (маркировка 2)
320,Стаканы В-1-50 ТС
321,Холодильник (бытовой)
322,Центрифуга (3 - 4 тыс. об./мин.)
323,Трубки сорбционные СТ 212
324,"Электропечь трубчатая для по ТУ 16531-641-78 микроанализа СУОЛ-0,25.1,1/12МР-ПЗ"
325,Преобразователь термоэлектрический платинородий-платиновый ТПП-1378; длина 120 мм
326,"Резистор СП5-18 (сопротивление проволочное переменное 0,1 кОм)"
327,"Магнитный пускатель П6-122,43"
328,Лабораторные автотрансформаторы
329,Электрическая плитка бытовая
330,Аппарат для получения по МРТУ 42-2028-62 бидистиллированной воды
331,Баллон с ацетиленом
332,Бутыли полиэтиленовые по ТУ 6-19-110-78 вместимостью 500 куб. см
333,Воронки стеклянные диаметром 50 мм
334,Груша резиновая
335,Лабораторный автотрансформатор
336,Печь муфельная ПМ-8
337,Плитка электрическая с песчаной баней по ГОСТ 306-69 типа ШС-1/08-Н
338,Колбы мерные по ГОСТ 1770-74Е 2-100-2 - 9 шт. 2-250-2 - 1 шт. 2-500-2 - 3 шт. 2-1000-2 - 2 шт.
339,"Электроаспираторы модели 822, ЭА-1, ЭА-2, ЭА-2С, ЭА-3"
340,Воздухоотборник 'Компонент'
341,"Фотоэлектроколориметр типа КФК-2, КФК-2мп (КФК-3) по ТУ 3.3.1766, ТУ 3.3.1860 или спектрофотометр типа СФ-46 (СФ-26)"
342,Весы аналитические 2 класса точности по ГОСТ 24104.
343,Весы технические лабораторные 4 класса точности по ГОСТ 24104 с пределом взвешивания 200 г
344,"рН-метр типа рН-150, рН-155 по ТУ 25-7410.003, ТУ 25-7416.0171 или иономер типа Анион-210, Анион-214"
